"filename", "language", "Properties", "Python", "YAML", "toml", "HTML", "Markdown", "Makefile", "Docker", "comment", "blank", "total"
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/orm/common/app.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/orm/common/commands/hello.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/orm/common/models.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/orm/manage.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 9, 28
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/orm/routes.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/orm/settings.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/route/common/app.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/route/common/routes.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 27
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/route/include/invalidroutes.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/route/include/nopatternroutes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/route/include/routes.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 4
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/route/routes.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/apps/utils/settings.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/conftest.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 3, 9, 24
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/decorators.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_app/test_app.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 9, 25, 105
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_cache/test_cache.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 1, 12, 55
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_cache/test_locmem.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 9, 16, 56
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_cache/test_redis.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_cli/test_main.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_command/test_cmd.py", "Python", 0, 59, 0, 0, 0, 0, 0, 0, 3, 17, 79
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_command/test_start_cmd.py", "Python", 0, 110, 0, 0, 0, 0, 0, 0, 0, 27, 137
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_conf/test_conf.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 1, 14, 35
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_core/test_unfazed.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 2, 19, 86
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_http/test_request.py", "Python", 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_http/test_response.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"/Users/xin.zhou/Documents/unfazed-eco/unfazed/tests/test_lifespan/test_ls_registry.py", "Python", 0, 103, 0, 0, 0, 0, 0, 0, 2, 33, 138
